Test accuracy,weighted avg precision,weighted avg recall,weighted avg f1-score,True Positive,False Positive,False Negative,True Negative,Sensitivity score,Specificity,model_name,features_used
0.8590381426202321,0.86,0.86,0.86,262,41,44,256,0.8562091503267973,0.8619528619528619,GradientBoostingClassifier(),RDKit_Descriptors
0.9203980099502488,0.92,0.92,0.92,281,19,29,274,0.9064516129032258,0.9351535836177475,ExtraTreesClassifier(),RDKit_Fingerprints
0.8557213930348259,0.86,0.86,0.86,250,50,37,266,0.8710801393728222,0.8417721518987342,AdaBoostClassifier(),RDKit_Fingerprints
0.9286898839137645,0.93,0.93,0.93,277,23,20,283,0.9326599326599326,0.9248366013071896,LogisticRegression(),RDKit_Fingerprints
0.9137645107794361,0.91,0.91,0.91,267,33,19,284,0.9335664335664335,0.8958990536277602,SVC(),RDKit_Fingerprints
0.7446102819237148,0.74,0.74,0.74,218,82,72,231,0.7517241379310344,0.7380191693290735,GaussianNB(),RDKit_Fingerprints
0.8988391376451078,0.90,0.90,0.90,266,34,27,276,0.9078498293515358,0.8903225806451613,KNeighborsClassifier(),RDKit_Fingerprints
0.8606965174129353,0.86,0.86,0.86,259,41,43,260,0.8576158940397351,0.8637873754152824,DecisionTreeClassifier(),RDKit_Fingerprints
0.9071310116086235,0.91,0.91,0.91,273,27,29,274,0.9039735099337748,0.9102990033222591,RandomForestClassifier(),RDKit_Fingerprints
0.8905472636815921,0.89,0.89,0.89,260,40,26,277,0.9090909090909091,0.8738170347003155,GradientBoostingClassifier(),RDKit_Fingerprints
