Test accuracy,weighted avg precision,weighted avg recall,weighted avg f1-score,True Positive,False Positive,False Negative,True Negative,Sensitivity score,Specificity,Avg_5KCV_Score,model_name,features_used
0.8432055749128919,0.84,0.84,0.84,225,49,41,259,0.8458646616541353,0.8409090909090909,0.8093346954411953,ExtraTreesClassifier(),ECFP4_Fingerprints
0.7491289198606271,0.75,0.75,0.75,212,62,82,218,0.7210884353741497,0.7785714285714286,0.7169612833001927,AdaBoostClassifier(),ECFP4_Fingerprints
0.7630662020905923,0.77,0.76,0.76,226,48,88,212,0.7197452229299363,0.8153846153846154,0.7657369064341354,LogisticRegression(),ECFP4_Fingerprints
0.813588850174216,0.81,0.81,0.81,222,52,55,245,0.8014440433212996,0.8249158249158249,0.8051456056819356,SVC(),ECFP4_Fingerprints
0.7177700348432056,0.73,0.72,0.72,219,55,107,193,0.6717791411042945,0.7782258064516129,0.7277322728350694,GaussianNB(),ECFP4_Fingerprints
0.8240418118466899,0.83,0.82,0.82,204,70,31,269,0.8680851063829788,0.7935103244837758,0.7779818912624429,RandomForestClassifier(),ECFP4_Fingerprints
0.8222996515679443,0.82,0.82,0.82,216,54,48,256,0.8181818181818182,0.8258064516129032,0.8194422654772546,ExtraTreesClassifier(),MACCS_Fingerprints
0.7369337979094077,0.74,0.74,0.74,210,60,91,213,0.6976744186046512,0.7802197802197802,0.708238320229126,AdaBoostClassifier(),MACCS_Fingerprints
0.6550522648083623,0.66,0.66,0.65,197,73,125,179,0.6118012422360248,0.7103174603174603,0.6639059659108184,LogisticRegression(),MACCS_Fingerprints
0.7543554006968641,0.77,0.75,0.75,232,38,103,201,0.6925373134328359,0.8410041841004184,0.7712954010617145,SVC(),MACCS_Fingerprints
0.5714285714285714,0.65,0.57,0.53,243,27,219,85,0.525974025974026,0.7589285714285714,0.6056618688849567,GaussianNB(),MACCS_Fingerprints
0.7979094076655052,0.80,0.80,0.80,209,61,55,249,0.7916666666666666,0.8032258064516129,0.7912156204583737,RandomForestClassifier(),MACCS_Fingerprints
0.7909407665505227,0.79,0.79,0.79,223,68,52,231,0.8109090909090909,0.7725752508361204,0.8034058777386578,ExtraTreesClassifier(),Morgan_Fringerprints
0.740418118466899,0.74,0.74,0.74,217,74,75,208,0.7431506849315068,0.7375886524822695,0.7322856048306182,AdaBoostClassifier(),Morgan_Fringerprints
0.7317073170731707,0.73,0.73,0.73,225,66,88,195,0.7188498402555911,0.7471264367816092,0.7615520732619443,LogisticRegression(),Morgan_Fringerprints
0.7700348432055749,0.77,0.77,0.77,220,71,61,222,0.7829181494661922,0.757679180887372,0.7978248840080024,SVC(),Morgan_Fringerprints
0.6933797909407665,0.70,0.69,0.69,227,64,112,171,0.6696165191740413,0.7276595744680852,0.7088968750570078,GaussianNB(),Morgan_Fringerprints
0.7874564459930313,0.79,0.79,0.79,211,80,42,241,0.83399209486166,0.7507788161993769,0.7859994770478744,RandomForestClassifier(),Morgan_Fringerprints
0.8310104529616724,0.83,0.83,0.83,218,54,43,259,0.8352490421455939,0.8274760383386581,0.8333673860298813,ExtraTreesClassifier(),RDKit_Descriptors
0.7369337979094077,0.74,0.74,0.74,197,75,76,226,0.7216117216117216,0.7508305647840532,0.7364515874029346,AdaBoostClassifier(),RDKit_Descriptors
0.6655052264808362,0.67,0.67,0.67,184,88,104,198,0.6388888888888888,0.6923076923076923,0.6855026725285952,LogisticRegression(),RDKit_Descriptors
0.7282229965156795,0.73,0.73,0.73,206,66,90,212,0.6959459459459459,0.762589928057554,0.7398909097542733,SVC(),RDKit_Descriptors
0.6010452961672473,0.63,0.60,0.56,76,196,33,269,0.6972477064220184,0.578494623655914,0.6011164419796778,GaussianNB(),RDKit_Descriptors
0.8205574912891986,0.82,0.82,0.82,216,56,47,255,0.8212927756653993,0.819935691318328,0.8107107892320509,RandomForestClassifier(),RDKit_Descriptors
0.8257839721254355,0.83,0.83,0.83,234,59,41,240,0.850909090909091,0.802675585284281,0.812124584222656,ExtraTreesClassifier(),RDKit_Fingerprints
0.735191637630662,0.74,0.74,0.74,215,78,74,207,0.7439446366782007,0.7263157894736842,0.7131054235000092,AdaBoostClassifier(),RDKit_Fingerprints
0.7369337979094077,0.74,0.74,0.74,231,62,89,192,0.721875,0.7559055118110236,0.7646879617636865,LogisticRegression(),RDKit_Fingerprints
0.8031358885017421,0.80,0.80,0.80,239,54,59,222,0.802013422818792,0.8043478260869565,0.7901453928525822,SVC(),RDKit_Fingerprints
0.6149825783972126,0.61,0.61,0.61,185,108,113,168,0.6208053691275168,0.6086956521739131,0.6202905424716176,GaussianNB(),RDKit_Fingerprints
0.7822299651567944,0.79,0.78,0.78,211,82,43,238,0.8307086614173228,0.74375,0.7852922755106384,RandomForestClassifier(),RDKit_Fingerprints
